id;nazov;kategoria;verdikt;dovod;navrh_nahrady
famozny-vajickovy-salat;Famózny vajíčkový šalát;Raňajky;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Reďkovka', 'Ochutená majonéza';
fantasticke-kokosove-slimaky;Fantastické kokosové slimáky;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (7 krokov / 1864 znakov, 8 % ingrediencií bez množstva);
farebny-salat-do-prace;Farebný šalát do práce;Šalát;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 897 znakov, 17 % ingrediencií bez množstva);
farebny-salat-s-pecenou-zeleninou;Farebný šalát s pečenou zeleninou;Šalát;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 522 znakov, 33 % ingrediencií bez množstva);
farfalle-s-kuracimi-prsami-a-so-smotanou;Farfalle s kuracími prsami a so smotanou;Šalát;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Vňať', 'Farfalle', 'Zálievka s modrým syrom';
fasiangove-siski;Fašiangové šišky (pampúchy);Dezert;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 6 krokov / 1501 znakov";
fasirka-s-prekvapenim;Fašírka s prekvapením;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 903 znakov, 0 % ingrediencií bez množstva);
fasirkova-variacia-na-tanieri-plnom-farieb;Fašírková variácia na tanieri plnom farieb;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (11 krokov / 1269 znakov, 6 % ingrediencií bez množstva);
fasirky-z-kuriatok;Fašírky z kuriatok;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 319 znakov, 27 % ingrediencií bez množstva);
fasirky;Fašírky (karbonátky);Hlavné jedlo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Prosciutto', 'Maslové rozdrvené sušienky', 'Cibuľa nadrobno pokrájaná';
fazulova-kremova-polievka;Fazuľová krémová polievka;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 923 znakov, 24 % ingrediencií bez množstva);
fazulova-polievka-bez-masa;Fazuľová polievka bez mäsa;Polievka;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Fazuľová krémová polievka"" (id=fazulova-kremova-polievka), ktorý zostáva (dlhší postup / úplnejšie dáta)";
fazulova-polievka-so-slaninou;Fazuľová polievka so slaninou;Polievka;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Fazuľová krémová polievka"" (id=fazulova-kremova-polievka), ktorý zostáva (dlhší postup / úplnejšie dáta)";
fazulova-polievka-so-zeleninou;Fazuľová polievka so zeleninou;Polievka;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Zeler sedano', 'Fazuľová múka';
fazulovy-gulas-internacional;Fazuľový guláš „internacionál“;Hlavné jedlo;VYHODIT;4 surovín s výskytom najviac 2× v celej DB: 'Bravčové údené stehno', 'Zelená štipľavá paprika', 'Zelená sladká paprika';
fazulovy-privarok-s-hovadzinou;Fazuľový prívarok s hovädzinou;Príloha;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 950 znakov, 29 % ingrediencií bez množstva);
fazulovy-privarok;Fazuľový prívarok;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 624 znakov, 25 % ingrediencií bez množstva);
fazulovy-salat-s-cibulou-a-octom;Fazuľový šalát s cibuľou a octom;Šalát;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 395 znakov, 0 % ingrediencií bez množstva);
fazulovy-salat-s-ovcim-syrom;Fazuľový šalát s ovčím syrom;Šalát;VYHODIT;"Slabý postup (3 krokov, 267 znakov; medián DB je 689); 36 % ingrediencií (4/11) bez množstva – plánovač neurčí výživu ani nákup; 5 surovín s výskytom najviac 2× v celej DB: 'Ovčieho syra', 'Malé cibule', 'Uvarených bielych fazulí'";
fazulovy-salat-s-paradajkami-a-vajickami;Fazuľový šalát s paradajkami a vajíčkami;Šalát;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 405 znakov, 9 % ingrediencií bez množstva);
fettucine-alla-carbonara;Fettucine alla Carbonara;Cestoviny;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Fettucine alla Carbonara"" + 3 surovín s výskytom najviac 2× v celej DB: 'Morčacie prsia údené', 'Rezance fettucine zelené', 'Vajca'";Spaghetti alla Carbonara (BBC Good Food)
file-s-cibulou;Filé s cibuľou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 338 znakov, 33 % ingrediencií bez množstva);
fit-bryndzova-natierka-plna-proteinov;Fit bryndzová nátierka plná proteínov;Snack;VYHODIT;"Slabý postup (3 krokov, 282 znakov; medián DB je 689)";
flambovane-linguine-s-hovadzim-masom-a-so-syrom;Flambované linguine s hovädzím mäsom a so syrom;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Linguine', 'Sviečkovica hovädzia';
fliacky-s-kapustou;Fliačky s kapustou;Cestoviny;VYHODIT;40 % ingrediencií (2/5) bez množstva – plánovač neurčí výživu ani nákup;
focaccia-s-rozmarinom;Focaccia s rozmarínom a morskou soľou;Pečivo;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Focaccia s rozmarínom a morskou soľou""";Focaccia (BBC Good Food)
francuzsky-toast;Francúzsky toast;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 768 znakov, 22 % ingrediencií bez množstva);
furmanske-halusky;Furmanské halušky;Hlavné jedlo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Žihľava', 'Topený syr', 'Údený oštiepok';
fusilli-s-cuketou-a-prosciuttom;Fusilli s cuketou a prosciuttom;Cestoviny;VYHODIT;"36 % ingrediencií (4/11) bez množstva – plánovač neurčí výživu ani nákup; 2 surovín s výskytom najviac 2× v celej DB: 'Fusilli', 'Prosciutto'";
galbi-jjim-hovadzie-rebierka;Galbi-jjim – hovädzie rebierka;Hlavné jedlo;VYHODIT;7 surovín s výskytom najviac 2× v celej DB: 'Rebierka hovädzie', 'Cibuľka mladá s vňaťou nakrájaná na kúsky', 'Škrobový sirup';
gastanovy-dezert;Gaštanový dezert;Snack;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Pyré gaštanové', 'Mlieko z lieskových orechov', 'Lekvár domáci';
gnocchi-s-hovadzim-ragu;Gnocchi s hovädzím ragú;Hlavné jedlo;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Gnocchi s hovädzím ragú""";Potato Gnocchi (BBC Good Food)
gnocchi-so-spenatom-a-syrom;Gnocchi so špenátom a syrom;Cestoviny;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Gnocchi so špenátom a syrom""";Potato Gnocchi (BBC Good Food)
grahamove-rozky-so-sezamom;Grahamové rožky so sezamom;Snack;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Pšeničná grahamová múka', 'Sladenka';
grecke-kuracie-so-zemiakmi;Grécke kuracie so zemiakmi;Hlavné jedlo;VYHODIT;44 % ingrediencií (7/16) bez množstva – plánovač neurčí výživu ani nákup;
grecke-tzatziki-salatove-osviezenie-z-uhoriek-a-jogurtu;Grécke tzatziki, šalátové osvieženie z uhoriek a jogurtu;Šalát;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Grécke tzatziki, šalátové osvieženie z uhoriek a jogurtu""";Tzatziki (TheMealDB)
grecky-jogurt-s-medom-a-orechmi;Grécky jogurt s medom a orechmi;Snack;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 744 znakov, 11 % ingrediencií bez množstva);
grecky-salat-s-fetou;Grécky šalát s fetou;Šalát;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 355 znakov, 25 % ingrediencií bez množstva);
grilovana-chobotnica;Grilovaná chobotnica;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Očistená chobotnica', 'Olivy čierne s kôstkou';
grilovana-krevetova-miska-s-ryzou;Grilovaná krevetová miska s ryžou a avokádom;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 559 znakov, 27 % ingrediencií bez množstva);
grilovana-krkovicka;Grilovaná krkovička;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Korenie na bravčové mäso', 'Krkovička';
grilovana-paprika-s-cesnakom;Grilovaná paprika s cesnakom;Príloha;VYHODIT;"43 % ingrediencií (3/7) bez množstva – plánovač neurčí výživu ani nákup; 3 surovín s výskytom najviac 2× v celej DB: 'Veľká farebná mäsitá paprika', 'Vínny ocot biely', 'Bylinky zmes'";
grilovana-zelenina;Grilovaná zelenina;Príloha;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 484 znakov, 22 % ingrediencií bez množstva);
grilovane-bravcove-rebra-s-medovou-glazurou;Grilované bravčové rebrá s medovou glazúrou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (9 krokov / 1317 znakov, 12 % ingrediencií bez množstva);
grilovane-kuracie-pecienky-so-sampinonmi;Grilované kuracie pečienky so šampiňónmi;Hlavné jedlo;VYHODIT;"Slabý postup (4 krokov, 275 znakov; medián DB je 689); 40 % ingrediencií (2/5) bez množstva – plánovač neurčí výživu ani nákup";
grilovane-marinovane-tofu-so-sezamom;Grilované marinované tofu so sezamom;Šalát;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Marinované tofu', 'Fialová cibuľa';
grilovane-morcacie-prsia-na-hrasku;Grilované morčacie prsia na hrášku;Hlavné jedlo;VYHODIT;38 % ingrediencií (3/8) bez množstva – plánovač neurčí výživu ani nákup;
grilovane-tofu;Grilované tofu;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Vegea s cesnakom', 'Ajvar jemný/pikant';
grilovany-losos-s-avokadovou-salsou;Grilovaný losos s avokádovou salsou;Hlavné jedlo;VYHODIT;"Slabý postup (4 krokov, 236 znakov; medián DB je 689); 43 % ingrediencií (3/7) bez množstva – plánovač neurčí výživu ani nákup";
grilovany-tuniak-steak-s-bylinkami;Grilovaný tuniakový steak s bylinkami;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 584 znakov, 14 % ingrediencií bez množstva);
gulas-z-diviny;Guláš z diviny;Polievka;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Mäso z diviny', 'Klobása domáca', 'Zelerový list';
gulas-z-mleteho-masa-s-makaronmi-z-jedneho-hrnca;Guláš z mletého mäsa s makarónmi z jedného hrnca;Hlavné jedlo;VYHODIT;4 surovín s výskytom najviac 2× v celej DB: 'Lúpané krájané pradajky', 'Paradajková passata', 'Bylinky talianske sušené';
gulasova-polievka;Gulášová polievka;Polievka;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 4 krokov / 977 znakov";
gulky-s-dynamitom;Guľky s dynamitom;Hlavné jedlo;VYHODIT;38 % ingrediencií (5/13) bez množstva – plánovač neurčí výživu ani nákup;
halusky-s-vajcom-a-s-pazitkou;Halušky s vajcom a s pažítkou;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 10 krokov / 1353 znakov";
hanacke-kolace;Hanácke koláče;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 746 znakov, 7 % ingrediencií bez množstva);
harula;Haruľa (zemiakové placky pečené);Hlavné jedlo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Fazuľa biela sterilizovaná', 'Červená sterilizovaná fazuľa', 'Bylinkový dresing';
hemendex;Hemendex (šunka s vajcom);Raňajky;VYHODIT;"Slabý postup (6 krokov, 294 znakov; medián DB je 689); 43 % ingrediencií (3/7) bez množstva – plánovač neurčí výživu ani nákup";
hlavkovy-salat;Hlávkový šalát na smotane;Šalát;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 326 znakov, 0 % ingrediencií bez množstva);
hlivovo-syrova-natierka;Hlivovo-syrová nátierka;Nátierka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 661 znakov, 0 % ingrediencií bez množstva);
hniezda-pre-vajicka;Hniezda pre vajíčka;Snack;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 890 znakov, 0 % ingrediencií bez množstva);
holandske-kysnute-palacinky;Holandské kysnuté palacinky;Príloha;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Holandské kysnuté palacinky""";Pancakes (BBC Good Food)
holubky;Plnená kapusta (holúbky);Hlavné jedlo;VYHODIT;38 % ingrediencií (6/16) bez množstva – plánovač neurčí výživu ani nákup;
horuca-biela-cokolada;Horúca biela čokoláda;Nápoj;VYHODIT;"Slabý postup (4 krokov, 171 znakov; medián DB je 689)";
horuca-cokolada;Domáca horúca čokoláda;Nápoj;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Horúca biela čokoláda"" (id=horuca-biela-cokolada), ktorý zostáva (dlhší postup / úplnejšie dáta)";
horuce-kakao-s-chilli;Horúce kakao s chilli;Nápoj;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 506 znakov, 25 % ingrediencií bez množstva);
hovadzi-burger-mcpulitzer;Hovädzí burger McPulitzer;Hlavné jedlo;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Hovädzí burger McPulitzer"" + 2 surovín s výskytom najviac 2× v celej DB: 'Podpleca hovädzie', 'Žemľa na burger'";Classic Beef Burger (BBC Good Food)
hovadzi-gulas-na-cervenom-vine-fotorecept;Hovädzí guláš na červenom víne /fotorecept/;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 6 krokov / 1015 znakov";
hovadzi-gulas-pre-nesoferov;Hovädzí guláš, pre nešoférov;Hlavné jedlo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Mletá paprika štipľavá', 'Lečo', 'Červené suché víno';
hovadzi-gulas-s-cibulou;Hovädzí guláš s cibuľou;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 8 krokov / 915 znakov";
hovadzi-hamburger-ala-jamie;Hovädzí hamburger ala Jamie;Hlavné jedlo;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Hovädzí hamburger ala Jamie"" + 3 surovín s výskytom najviac 2× v celej DB: 'Semienka slnečnice', 'Hovädziemleté mäso', 'Worchestrová omáčka'";Classic Beef Burger (BBC Good Food)
hovadzi-hamburger-s-domacou-zemlou;Hovädzí hamburger s domácou žemľou;Hlavné jedlo;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Hovädzí hamburger s domácou žemľou""";Classic Beef Burger (BBC Good Food)
hovadzi-steak-s-cesnakovym-maslom;Hovädzí steak s cesnakovým maslom;Hlavné jedlo;VYHODIT;"Slabý postup (3 krokov, 287 znakov; medián DB je 689); 2 surovín s výskytom najviac 2× v celej DB: 'Krkovica hovädzia', 'Drvené borievky'";
hovadzi-stir-fry-so-zeleninou;Hovädzí stir-fry so zeleninou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 630 znakov, 25 % ingrediencií bez množstva);
hovadzi-stroganov;Hovädzí Stroganov;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (6 krokov / 1061 znakov, 20 % ingrediencií bez množstva);
hovadzi-vyvar-so-zeleninou;Hovädzí vývar so zeleninou;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 305 znakov, 29 % ingrediencií bez množstva);
hovadzi-vyvar;Hovädzí vývar;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 940 znakov, 8 % ingrediencií bez množstva);
hovadzi-zavitok;Hovädzí závitok;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 896 znakov, 33 % ingrediencií bez množstva);
hovadzia-podbrusina-pecena-so-zeleninou;Hovädzia podbrušina pečená so zeleninou;Hlavné jedlo;VYHODIT;6 surovín s výskytom najviac 2× v celej DB: 'Slabina hovädzia', 'Cesnak v prášku', 'Cibuľa v prášku';
hovadzia-rostenka-na-rozmarine;Hovädzia roštenka na rozmaríne;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 516 znakov, 0 % ingrediencií bez množstva);
hovadzia-rostenka-na-slaninke-s-mozaikovym-knedlikom;Hovädzia roštenka na slaninke s mozaikovým knedlíkom;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 3 krokov / 1545 znakov";
hovadzie-carbonnade;Hovädzie carbonnade;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Prelisovaný cesnak', 'Hnedý trstinový cukor';
hovadzie-chilli-s-fazulou;Hovädzie chilli s fazuľou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 1023 znakov, 25 % ingrediencií bez množstva);
hovadzie-kocky-s-fernetom-a-kakaom;Hovädzie kocky s fernetom a kakaom;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Ferenet', 'Lekvár slivkový s kakaom';
hovadzie-kusky-na-smotane;Hovädzie kúsky na smotane;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 1080 znakov, 21 % ingrediencií bez množstva);
hovadzie-lasagne;Hovädzie lasagne;Hlavné jedlo;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Hovädzie lasagne""";Classic Lasagne (BBC Good Food)
hovadzie-licka-na-pive-s-dzatkami;Hovädzie líčka na pive s džatkami;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 1760 znakov, 28 % ingrediencií bez množstva);
hovadzie-maso-na-stave;Hovädzie mäso na šťave;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 1230 znakov, 20 % ingrediencií bez množstva);
hovadzie-na-hlive-s-ryzou;Hovädzie na hlive s ryžou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 687 znakov, 12 % ingrediencií bez množstva);
hovadzie-na-hriboch;Hovädzie na hríboch;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Vývar hovädzí domáci', 'Surový strúhaný zemiak';
hovadzie-na-stave-bez-papriky;Hovädzie na šťave bez papriky;Hlavné jedlo;VYHODIT;40 % ingrediencií (4/10) bez množstva – plánovač neurčí výživu ani nákup;
hovadzie-na-tmavom-pive;Hovädzie na tmavom pive;Hlavné jedlo;VYHODIT;38 % ingrediencií (5/13) bez množstva – plánovač neurčí výživu ani nákup;
hovadzie-platky-na-dubakoch-a-cervenom-vine;Hovädzie plátky na dubákoch a červenom víne;Hlavné jedlo;VYHODIT;40 % ingrediencií (4/10) bez množstva – plánovač neurčí výživu ani nákup;
hovadzie-platky-na-hubach-sraca-z-kosic;Hovädzie plátky na hubách Šráca z Košíc;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Brezové sušené kozáky', 'Pikantný kečup';
hovadzie-platky-na-sampinonoch;Hovädzie plátky na šampiňónoch;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Mäso hovädzie predné', 'Knedľa';
hovadzie-plece-na-smotane;Hovädzie plece na smotane;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Pliecko hovädzie', 'Smotana 33%';
hovadzie-plnene-rolky;Hovädzie plnené rolky;Hlavné jedlo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Mäso hovädzie predné', 'Červené domáce víno', 'Kápia červená v oleji';
hovadzie-ragu;Hovädzie ragú;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 848 znakov, 14 % ingrediencií bez množstva);
hovadzie-roladky;Hovädzie roládky;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 706 znakov, 33 % ingrediencií bez množstva);
hovadzie-s-knedlou-a-koprovkou;Hovädzie s knedľou a kôprovkou;Hlavné jedlo;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Korenie na steak', 'Vývar z mäsa', 'Biele burizóny';
hovadzie-s-trikolorou-paprik;Hovädzie s trikolórou paprík;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (9 krokov / 1030 znakov, 20 % ingrediencií bez množstva);
hovadzie-so-zeleninou;Hovädzie so zeleninou;Hlavné jedlo;VYHODIT;"38 % ingrediencií (3/8) bez množstva – plánovač neurčí výživu ani nákup; 2 surovín s výskytom najviac 2× v celej DB: 'Karotka', 'Vývar mäsový z kocky'";
hovadzie-v-cervenej-omacke;Hovädzie v červenej omáčke;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 762 znakov, 20 % ingrediencií bez množstva);
hovadzie-v-miske;Hovädzie v miske;Hlavné jedlo;VYHODIT;"38 % ingrediencií (5/13) bez množstva – plánovač neurčí výživu ani nákup; 2 surovín s výskytom najviac 2× v celej DB: 'Vývar z hovädzích kostí', 'Džús z čiernych ribezlí'";
hovadzie-zadne-s-hlivou-a-kari-korenim;Hovädzie zadné s hlivou a kari korením;Hlavné jedlo;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Hovädzie zadné s hlivou a kari korením"" + 5 surovín s výskytom najviac 2× v celej DB: 'Malý zeler', 'Cibuľka mladá s vňaťou', 'Koriander vňať'";Chicken Curry (BBC Good Food)
hrachova-kasa;Hrachová kaša s cibuľkou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 422 znakov, 0 % ingrediencií bez množstva);
hrachova-polievka-s-badyanom;Hrachová polievka s badyánom;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (3 krokov / 590 znakov, 22 % ingrediencií bez množstva);
hrachova-polievka-v-kotliku;Hrachová polievka v kotlíku;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Bravčové surové koleno', 'Žltý suchý polený hrach';
hrachova-polievka;Hrachová polievka s údeným;Polievka;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Vývar z údeného mäsa', 'Bravčové údené plece';
hraskova-kremova-polievka-s-matou;Hrášková krémová polievka s mätou;Polievka;VYHODIT;5 surovín s výskytom najviac 2× v celej DB: 'Pieporná čerstvá mäta', 'Petržlen - koreň', 'Smotana sladká na šľahanie 33%-tná';
hraskova-natierka-s-matou;Hrášková nátierka s mätou;Nátierka;VYHODIT;"Slabý postup (3 krokov, 234 znakov; medián DB je 689); 43 % ingrediencií (3/7) bez množstva – plánovač neurčí výživu ani nákup";
hrianky-s-drobkovou-natierkou;Hrianky s drobkovou nátierkou;Nátierka;VYHODIT;4 surovín s výskytom najviac 2× v celej DB: 'Kuracie drobky varené', 'Pikantná horčica', 'Maslo nátierkové alebo rastlinné';
hribovica-s-udenym-masom;Hríbovica s údeným mäsom;Polievka;VYHODIT;3 surovín s výskytom najviac 2× v celej DB: 'Údená krkovička', 'Koreňová zelenina-zmes', 'Mäsový vývar z kocky';
hrstkova-polievka-racio;Hŕstková polievka racio;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 507 znakov, 12 % ingrediencií bez množstva);
hrube-rezance-s-rukolovym-pestom;Hrubé rezance s rukolovým pestom;Cestoviny;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Hrubé rezance s rukolovým pestom"" + 2 surovín s výskytom najviac 2× v celej DB: 'Orechy para', 'Parmezán na posypanie'";Pesto alla Genovese (BBC Good Food)
hruskova-babovka-s-kuskami-bielej-cokolady;Hrušková bábovka s kúskami bielej čokolády;Raňajky;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 609 znakov, 23 % ingrediencií bez množstva);
hruskova-salatova-miska-s-orechmi-a-syrom;Hrušková šalátová miska s orechmi a syrom;Šalát;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Pizzové cesto', 'Karotka';
hrusky-s-gorgonzolou-a-orechmi-salat;Šalát s hruškami, gorgonzolou a orechmi;Šalát;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Cibuľová vňať', 'Biele balzamiko';
hubova-kremova-polievka;Hubová krémová polievka;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 302 znakov, 12 % ingrediencií bez množstva);
hubove-knedlicky-do-polievky;Hubové knedličky do polievky;Príloha;VYHODIT;36 % ingrediencií (4/11) bez množstva – plánovač neurčí výživu ani nákup;
hubovy-cordon-bleu;Hubový Cordon bleu;Šalát;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Šampiňóny portobello', 'Kvasný ocot';
huby-s-nivou;Huby s Nivou;Hlavné jedlo;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 410 znakov, 33 % ingrediencií bez množstva);
huspenina-s-chudym-masom;Huspenina s chudým mäsom;Snack;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 5 krokov / 1505 znakov";
husta-gulasova-polievka-z-mleteho-masa;Hustá gulášová polievka z mletého mäsa;Hlavné jedlo;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 5 krokov / 848 znakov";
husta-zeleninova-polievka;Hustá zeleninová polievka;Polievka;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (4 krokov / 978 znakov, 19 % ingrediencií bez množstva);
hydinove-ministeaky-s-jablkami-so-sampinonmi-a-s-kalvadoso;Hydinové ministeaky s jablkami, so šampiňónmi a s kalvadosom;Hlavné jedlo;VYHODIT;2 surovín s výskytom najviac 2× v celej DB: 'Hydinové prsia', 'Kalvados';
indicka-vajecna-omeleta;Indická vaječná omeleta;Raňajky;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Indická vaječná omeleta""";Omelette (BBC Good Food)
indonezska-omeleta;Indonézska omeleta;Raňajky;NAHRADIT;"Rozmarný variant medzinárodného jedla: ""Indonézska omeleta"" + 2 surovín s výskytom najviac 2× v celej DB: 'Sambal Oelek Shan´shi', 'Výhonky bambusové Shan´shi'";Omelette (BBC Good Food)
injera-vajcovy-wrap-etiopsky;Etiópsky wrap s vajcom (injera štýl);Raňajky;VYHODIT;"44 % ingrediencií (4/9) bez množstva – plánovač neurčí výživu ani nákup; 4 surovín s výskytom najviac 2× v celej DB: 'Prášok do pečiva bez fosfátov', 'Avokádo zrelé menšie', 'Paradajky čerstvé stredne veľké'";
jablcna-limonada-so-skoricou;Jablčná limonáda so škoricou;Nápoj;VYHODIT;"Duplicita: identický postup aj sada ingrediencií ako ""Bazalková limonáda"" (id=bazalkova-limonada), ktorý zostáva (dlhší postup / úplnejšie dáta)";
jablko-s-arasidovym-maslom;Jablko s arašidovým maslom;Snack;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (8 krokov / 605 znakov, 0 % ingrediencií bez množstva);
jablkova-strudla;Jablková štrúdľa (závin);Dezert;PONECHAT;"Slovenské/domáce jedlo bez medzinárodnej predlohy; postup 7 krokov / 355 znakov";
jablkova-torta;Jablková torta;Dezert;PONECHAT;Bez medzinárodnej predlohy, použiteľný postup (5 krokov / 827 znakov, 0 % ingrediencií bez množstva);
