surovina_en;surovina_sk;pocet_receptov;naparuje_sa_na_kluc;oddelenie;kcal_100g;zdroj_zaznamu
stir-fry vegetables;zeleninová zmes;2;zeleninová zmes;Zelenina a ovocie;40;existujuci
frozen peas;hrášok;2;hrášok;Mrazené;81;existujuci
lime leaves;kaffir listy;2;kaffir listy;Trvanlivé a konzervy;90;existujuci
pork tenderloin;bravčová panenka;2;bravčov;Mäso a ryby;242;existujuci
pak choi;pak choi;2;pak choi;Zelenina a ovocie;13;NOVY
apricot jam;džem;2;džem;Pečenie a sladké;250;existujuci
fast action yeast;droždie;2;droždie;Pečenie a sladké;325;existujuci
salted butter;maslo;2;maslo;Mliečne a vajcia;717;existujuci
radish;reďkovka;2;reďkovk;Zelenina a ovocie;16;existujuci
evaporated milk;kondenzované mlieko;2;kondenzované mlieko;Trvanlivé a konzervy;321;existujuci
buckwheat;pohánka;2;pohánk;Cestoviny a ryža;343;existujuci
poppy seeds;mak;2;mak;Orechy a semená;525;existujuci
dark beer;pivo;2;pivo;Nápoje;43;existujuci
rye flour;ražná múka;2;múka;Pečenie a sladké;364;existujuci
buttermilk;podmaslie;2;podmasl;Mliečne a vajcia;40;existujuci
mango;mango;2;mango;Zelenina a ovocie;60;existujuci
figs;figy;2;figy;Zelenina a ovocie;249;existujuci
raspberry jam;džem;2;džem;Pečenie a sladké;250;existujuci
almond extract;mandľová aróma;2;mandľová aróma;Pečenie a sladké;300;existujuci
ground almonds;mandle;2;mandle;Orechy a semená;579;existujuci
chocolate chips;čokoláda;2;čokoláda;Pečenie a sladké;534;existujuci
dark brown soft sugar;hnedý cukor;2;hnedý cukor;Pečenie a sladké;380;existujuci
light brown soft sugar;hnedý cukor;2;hnedý cukor;Pečenie a sladké;380;existujuci
milk chocolate;čokoláda;2;čokoláda;Pečenie a sladké;534;existujuci
dark chocolate;čokoláda;2;čokoláda;Pečenie a sladké;534;existujuci
star anise;badián;2;badián;Trvanlivé a konzervy;337;existujuci
rhubarb;rebarbora;2;rebarbora;Zelenina a ovocie;21;NOVY
jam;džem;2;džem;Pečenie a sladké;250;existujuci
callaloo;špenát;1;špenát;Zelenina a ovocie;23;existujuci
buckwheat flour;pohánková múka;1;pohánkov;Cestoviny a ryža;343;existujuci
baked beans;fazuľa v paradajkovej omáčke;1;paradajk;Zelenina a ovocie;18;existujuci
grits;kukuričná krupica;1;kukuričn;Cestoviny a ryža;357;existujuci
fine yellow cornmeal;kukuričná múka;1;kukuričn;Cestoviny a ryža;357;existujuci
sweetened condensed milk;kondenzované mlieko;1;kondenzované mlieko;Trvanlivé a konzervy;321;existujuci
ground oats;ovsené vločky;1;ovsené vloč;Cestoviny a ryža;389;existujuci
sugar syrup;cukrový sirup;1;cukrový sirup;Pečenie a sladké;260;existujuci
full fat sour cream;kyslá smotana;1;smotana;Mliečne a vajcia;250;existujuci
smoked salmon;losos;1;losos;Mäso a ryby;170;existujuci
english muffins;anglický muffin;1;anglický muffin;Pečivo;235;existujuci
white cornmeal;kukuričná múka;1;kukuričn;Cestoviny a ryža;357;existujuci
liquid cheese;tavený syr;1;tavený syr;Mliečne a vajcia;290;existujuci
brussels sprouts;ružičkový kel;1;kel;Zelenina a ovocie;49;existujuci
buns;žemľa;1;žemľa;Pečivo;280;existujuci
raw tiger prawns;krevety;1;krevet;Mäso a ryby;99;existujuci
black eyed peas;fazuľa;1;fazuľa;Trvanlivé a konzervy;110;existujuci
achiote seeds;achiote;1;achiote;Korenie a bylinky;300;NOVY
habanero pepper;čili;1;čili;Zelenina a ovocie;40;existujuci
kaffir lime leaves;kaffir listy;1;kaffir listy;Trvanlivé a konzervy;90;existujuci
pico de gallo sauce;salsa;1;salsa;Omáčky a dochucovadlá;36;existujuci
corn arepa filled with mozarella cheese;kukuričná múka;1;kukuričn;Cestoviny a ryža;357;existujuci
fried ripe bananas;banán;1;banán;Zelenina a ovocie;89;existujuci
shredded meat;mäso;1;mäso;Mäso a ryby;250;existujuci
morcilla;krvavnica;1;krvavnica;Mäso a ryby;379;NOVY
mixed beef cuts;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
couscous;kuskus;1;kuskus;Cestoviny a ryža;368;existujuci
soured cream and chive dip;kyslá smotana;1;smotana;Mliečne a vajcia;250;existujuci
lean minced steak;mleté hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
cooked beetroot;červená repa;1;červená repa;Zelenina a ovocie;44;existujuci
baby new potatoes;zemiaky;1;zemiak;Zelenina a ovocie;77;existujuci
tortillas;tortilla;1;tortilla;Pečivo;310;existujuci
red chilli powder;chilli prášok;1;chilli prášok;Korenie a bylinky;282;existujuci
white bread mix;hladká múka;1;múka;Pečenie a sladké;364;existujuci
barramundi;biela ryba;1;biela ryba;Mäso a ryby;90;existujuci
beef stock concentrate;bujón;1;bujón;Omáčky a dochucovadlá;240;existujuci
chestnut mushroom;šampiňóny;1;šampiňóny;Zelenina a ovocie;22;existujuci
bouquet garni;bylinkový zväzok;1;bylinkový zväzok;Korenie a bylinky;30;existujuci
beef shin;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
chimichurri sauce;chimichurri;1;chimichurri;Omáčky a dochucovadlá;210;existujuci
egg wash;vajcia;1;vajc;Mliečne a vajcia;155;existujuci
stout;pivo;1;pivo;Nápoje;43;existujuci
oysters;ustrice;1;ustrice;Mäso a ryby;68;NOVY
pumpkin puree;tekvica;1;tekvica;Zelenina a ovocie;26;NOVY
sirop de liège;sirup;1;sirup;Omáčky a dochucovadlá;260;existujuci
ginger garlic paste;zázvor;1;zázvor;Zelenina a ovocie;80;existujuci
iceberg lettuce;šalát;1;šalát;Zelenina a ovocie;15;existujuci
kielbasa;klobása;1;klobás;Mäso a ryby;300;existujuci
german sausages;klobása;1;klobás;Mäso a ryby;300;existujuci
juniper berries;borievky;1;boriev;Korenie a bylinky;255;existujuci
allspice berries;nové korenie;1;korenie;Korenie a bylinky;0;existujuci
dark brown sugar;hnedý cukor;1;hnedý cukor;Pečenie a sladké;380;existujuci
ancho chillies;chilli sušené;1;chilli suš;Korenie a bylinky;282;existujuci
borlotti beans;fazuľa;1;fazuľa;Trvanlivé a konzervy;110;existujuci
cooked chestnut;gaštany;1;gaštan;Orechy a semená;196;NOVY
cabbage leaves;kapusta;1;kapusta;Zelenina a ovocie;25;existujuci
cranberry;brusnice;1;brusnic;Zelenina a ovocie;46;existujuci
alinos sauce;salsa;1;salsa;Omáčky a dochucovadlá;36;existujuci
cajun;cajun;1;cajun;Korenie a bylinky;250;existujuci
little gem lettuce;little gem;1;little gem;Zelenina a ovocie;15;existujuci
flour tortilla;tortilla;1;tortilla;Pečivo;310;existujuci
salsa;salsa;1;salsa;Omáčky a dochucovadlá;36;existujuci
morning glory;špenát;1;špenát;Zelenina a ovocie;23;existujuci
canned beans;fazuľa;1;fazuľa;Trvanlivé a konzervy;110;existujuci
casabe;maniok;1;maniok;Zelenina a ovocie;160;NOVY
turkey ham;šunka;1;šunka;Mäso a ryby;145;existujuci
mustard powder;horčica v prášku;1;horčica v prášku;Korenie a bylinky;508;existujuci
sun-dried tomatoes;sušené paradajky;1;sušené paradajky;Trvanlivé a konzervy;258;existujuci
ginger cordial;sirup;1;sirup;Omáčky a dochucovadlá;260;existujuci
enchilada sauce;salsa;1;salsa;Omáčky a dochucovadlá;36;existujuci
corn tortillas;tortilla;1;tortilla;Pečivo;310;existujuci
shredded monterey jack cheese;syr;1;syr;Mliečne a vajcia;350;existujuci
fenugreek;senovka;1;senovka;Trvanlivé a konzervy;323;existujuci
coriander seeds;koriandrové semienka;1;koriandrové semien;Korenie a bylinky;298;existujuci
potato starch;škrob;1;škrob;Pečenie a sladké;381;existujuci
sherry;sherry;1;sherry;Alkohol;120;existujuci
ground mustard;horčica v prášku;1;horčica v prášku;Korenie a bylinky;508;existujuci
chicken bouillon powder;bujón;1;bujón;Omáčky a dochucovadlá;240;existujuci
crusty bread;chlieb;1;chlieb;Pečivo;250;existujuci
dried leaves of summer savoury;saturejka;1;saturejka;Korenie a bylinky;270;existujuci
cider;cider;1;cider;Nápoje;47;NOVY
seasoning;čierne korenie;1;korenie;Korenie a bylinky;0;existujuci
cottage cheese;cottage;1;cottage;Mliečne a vajcia;98;existujuci
tempura flour;hladká múka;1;múka;Pečenie a sladké;364;existujuci
green salsa;salsa;1;salsa;Omáčky a dochucovadlá;36;existujuci
vinaigrette dressing;vinaigrette;1;vinaigrette;Omáčky a dochucovadlá;340;NOVY
grape tomatoes;paradajky;1;paradajk;Zelenina a ovocie;18;existujuci
hard taco shells;tortilla;1;tortilla;Pečivo;310;existujuci
refried beans;fazuľa;1;fazuľa;Trvanlivé a konzervy;110;existujuci
cuban bread;chlieb;1;chlieb;Pečivo;250;existujuci
deli ham;šunka;1;šunka;Mäso a ryby;145;existujuci
mature cheddar;čedar;1;čedar;Mliečne a vajcia;400;existujuci
beef stock cubes;bujón;1;bujón;Omáčky a dochucovadlá;240;existujuci
feather blade beef;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
toor dal;šošovica;1;šošovic;Trvanlivé a konzervy;352;existujuci
mustard seeds;horčicové semienka;1;horčicové semienka;Korenie a bylinky;508;existujuci
pul biber;čili vločky;1;čili vločky;Korenie a bylinky;318;existujuci
romano pepper;paprika;1;paprika;Zelenina a ovocie;31;existujuci
sumac;sumak;1;sumak;Korenie a bylinky;315;existujuci
pomegranate molasses;granátový sirup;1;sirup;Omáčky a dochucovadlá;260;existujuci
cod;treska;1;treska;Mäso a ryby;82;NOVY
haddock;treska;1;treska;Mäso a ryby;82;NOVY
floury potatoes;zemiaky;1;zemiak;Zelenina a ovocie;77;existujuci
french lentils;šošovica;1;šošovic;Trvanlivé a konzervy;352;existujuci
frogs legs;žabie stehienka;1;žabie stehienka;Mäso a ryby;73;NOVY
salsa lizano;salsa;1;salsa;Omáčky a dochucovadlá;36;existujuci
cubed feta cheese;feta;1;feta;Mliečne a vajcia;264;existujuci
gochujang;gochujang;1;gochujang;Trvanlivé a konzervy;210;existujuci
chopped parsley;petržlenová vňať;1;petržlen;Zelenina a ovocie;36;existujuci
wood ear mushrooms;sušené huby;1;sušené hub;Trvanlivé a konzervy;284;existujuci
whole wheat;celozrnná múka;1;celozrn;Pečivo;245;existujuci
charlotte potatoes;zemiaky;1;zemiak;Zelenina a ovocie;77;existujuci
fresh thyme;tymian;1;tymian;Korenie a bylinky;101;existujuci
manchego;manchego;1;manchego;Mliečne a vajcia;393;NOVY
wild garlic leaves;medvedí cesnak;1;cesnak;Zelenina a ovocie;149;existujuci
yellow split peas;hrach;1;hrach;Trvanlivé a konzervy;81;existujuci
ras el hanout;ras el hanout;1;ras el hanout;Korenie a bylinky;330;NOVY
doner meat;mäso;1;mäso;Mäso a ryby;250;existujuci
fries;zemiaky;1;zemiak;Zelenina a ovocie;77;existujuci
sirloin steak tips;roštenka;1;roštenka;Mäso a ryby;250;existujuci
pork belly slices;bravčový bôčik;1;bravčový bôčik;Mäso a ryby;518;existujuci
hot mint;mäta;1;mäta;Zelenina a ovocie;44;existujuci
sour pork sausage;klobása;1;klobás;Mäso a ryby;300;existujuci
pickled garlics;cesnak;1;cesnak;Zelenina a ovocie;149;existujuci
vegetables;zeleninová zmes;1;zeleninová zmes;Zelenina a ovocie;40;existujuci
five spice powder;päťkorenie;1;korenie;Korenie a bylinky;0;existujuci
dried white corn;kukurica;1;kukurica;Zelenina a ovocie;86;existujuci
fermented black beans;fazuľová pasta;1;fazuľová pasta;Omáčky a dochucovadlá;180;existujuci
doubanjiang;doubanjiang;1;doubanjiang;Trvanlivé a konzervy;90;existujuci
beef flank steak;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
paneer;paneer;1;paneer;Mliečne a vajcia;265;existujuci
goat meat;kozie mäso;1;mäso;Mäso a ryby;250;existujuci
mozzarella balls;mozzarella;1;mozzarella;Mliečne a vajcia;280;existujuci
fresh basil;bazalka;1;bazalka;Korenie a bylinky;23;existujuci
baby plum tomatoes;paradajky;1;paradajk;Zelenina a ovocie;18;existujuci
farfalle;cestoviny;1;cestoviny;Cestoviny a ryža;360;existujuci
beef cutlet;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
ready rolled shortcrust pastry;krehké cesto;1;krehké cesto;Mrazené;450;NOVY
chopped chive;pažítka;1;pažítka;Zelenina a ovocie;30;existujuci
mulukhiyah;špenát;1;špenát;Zelenina a ovocie;23;existujuci
chestnuts;gaštany;1;gaštan;Orechy a semená;196;NOVY
wild mushrooms;sušené hríby;1;sušené hríby;Trvanlivé a konzervy;280;existujuci
truffle oil;olej;1;olej;Oleje a tuky;884;existujuci
dried shrimp;krevety;1;krevet;Mäso a ryby;99;existujuci
sriracha;sriracha;1;sriracha;Omáčky a dochucovadlá;93;existujuci
rye bread;ražný chlieb;1;ražný chlieb;Pečivo;259;NOVY
orange zest;pomaranč;1;pomaranč;Zelenina a ovocie;47;existujuci
veal;teľacie;1;teľacie;Mäso a ryby;172;NOVY
padron peppers;paprika;1;paprika;Zelenina a ovocie;31;existujuci
hake;biela ryba;1;biela ryba;Mäso a ryby;90;existujuci
green papaya;papája;1;papája;Zelenina a ovocie;43;NOVY
panquehue cheese;syr;1;syr;Mliečne a vajcia;350;existujuci
creamed corn;kukurica;1;kukurica;Zelenina a ovocie;86;existujuci
mixed peppers;paprika;1;paprika;Zelenina a ovocie;31;existujuci
achiote paste;achiote;1;achiote;Korenie a bylinky;300;NOVY
pomegranate;granátové jablko;1;jablk;Zelenina a ovocie;52;existujuci
baby lettuce leaves;šalátové listy;1;šalát;Zelenina a ovocie;15;existujuci
white sauerkraut;kyslá kapusta;1;kapusta;Zelenina a ovocie;25;existujuci
haricot beans;biele fazule;1;biele fazule;Trvanlivé a konzervy;127;existujuci
lima beans;fazuľa;1;fazuľa;Trvanlivé a konzervy;110;existujuci
banana pepper;paprika;1;paprika;Zelenina a ovocie;31;existujuci
great northern beans;biele fazule;1;biele fazule;Trvanlivé a konzervy;127;existujuci
beef fillet;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
ciabatta;ciabatta;1;ciabatta;Pečivo;271;existujuci
cheese curds;syr;1;syr;Mliečne a vajcia;350;existujuci
beef gravy;hovädzí vývar;1;vývar;Ostatné;4;existujuci
prahok;prahok;1;prahok;Omáčky a dochucovadlá;120;NOVY
shelled hazelnuts;lieskovce;1;lieskov;Orechy a semená;628;existujuci
tiger prawns;krevety;1;krevet;Mäso a ryby;99;existujuci
chilli sauce;chilli omáčka;1;chilli omáčka;Omáčky a dochucovadlá;240;existujuci
pork knuckle;bravčové koleno;1;bravčov;Mäso a ryby;242;existujuci
bouillon cubes;bujón;1;bujón;Omáčky a dochucovadlá;240;existujuci
mackerel;makrela;1;mak;Orechy a semená;525;existujuci
tamarind ball;tamarindová pasta;1;tamarindová pasta;Omáčky a dochucovadlá;240;existujuci
wholegrain bread;celozrnný chlieb;1;celozrnný chlieb;Pečivo;240;existujuci
canned tomatoes;paradajky v konzerve;1;paradajky v konzerve;Trvanlivé a konzervy;20;NOVY
anchovy fillet;ančovičky;1;ančovič;Mäso a ryby;210;existujuci
pitted black olives;olivy;1;olivy;Trvanlivé a konzervy;145;existujuci
smoky paprika;údená paprika;1;údená paprika;Korenie a bylinky;282;existujuci
italian fennel sausages;klobása;1;klobás;Mäso a ryby;300;existujuci
rigatoni;cestoviny;1;cestoviny;Cestoviny a ryža;360;existujuci
pimento stuffed olives;olivy;1;olivy;Trvanlivé a konzervy;145;existujuci
kabanos sausages;klobása;1;klobás;Mäso a ryby;300;existujuci
petit pois;hrášok;1;hrášok;Mrazené;81;existujuci
szechuan peppercorns;sečuánske korenie;1;sečuánske korenie;Korenie a bylinky;320;existujuci
sea bass fillets;biela ryba;1;biela ryba;Mäso a ryby;90;existujuci
baby squid;kalamáre;1;kalamáre;Mäso a ryby;92;existujuci
saffron;šafran;1;šafran;Trvanlivé a konzervy;310;existujuci
monkfish;biela ryba;1;biela ryba;Mäso a ryby;90;existujuci
mussels;mušle;1;mušl;Mäso a ryby;90;existujuci
frozen seafood mix;morské plody;1;morské plody;Mrazené;85;NOVY
chuck roast;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
chilli bean paste;doubanjiang;1;doubanjiang;Trvanlivé a konzervy;90;existujuci
dried chillies;chilli sušené;1;chilli suš;Korenie a bylinky;282;existujuci
chinese long beans;fazuľové struky;1;fazuľov;Zelenina a ovocie;30;existujuci
chinese sesame sauce;tahini;1;tahin;Omáčky a dochucovadlá;595;existujuci
silken tofu;tofu;1;tofu;Trvanlivé a konzervy;144;existujuci
seasoned rice vinegar;ryžový ocot;1;ocot;Omáčky a dochucovadlá;20;existujuci
shrimp;krevety;1;krevet;Mäso a ryby;99;existujuci
herring;sleď;1;sleď;Mäso a ryby;160;existujuci
grapefruit;grep;1;grep;Zelenina a ovocie;42;existujuci
cashews;kešu;1;kešu;Orechy a semená;553;existujuci
smoky aïoli;majonéza;1;majonéza;Omáčky a dochucovadlá;680;existujuci
hot beef stock;hovädzí vývar;1;vývar;Ostatné;4;existujuci
lean minced beef;mleté hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
vine tomatoes;paradajky;1;paradajk;Zelenina a ovocie;18;existujuci
pinto beans;fazuľa;1;fazuľa;Trvanlivé a konzervy;110;existujuci
serrano ham;prosciutto;1;prosciutto;Mäso a ryby;240;existujuci
hot smoked paprika;údená paprika;1;údená paprika;Korenie a bylinky;282;existujuci
garlic bulb;cesnak;1;cesnak;Zelenina a ovocie;149;existujuci
penne rigate;penne;1;penne;Cestoviny a ryža;348;existujuci
parmigiano-reggiano;parmezán;1;parmezán;Mliečne a vajcia;400;existujuci
italian seasoning;bylinky;1;bylinky;Korenie a bylinky;40;existujuci
mascarpone;mascarpone;1;mascarpone;Mliečne a vajcia;430;existujuci
can of chickpeas;cícer;1;cícer;Trvanlivé a konzervy;139;existujuci
fillet of steak;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
chinese cabbage;čínska kapusta;1;kapusta;Zelenina a ovocie;25;existujuci
lamb kidney;jahňacie;1;jahňacie;Mäso a ryby;258;NOVY
rice wine;shaoxing;1;shaoxing;Omáčky a dochucovadlá;100;existujuci
pineapple juice;ananás;1;ananás;Zelenina a ovocie;50;existujuci
pineapple chunks;ananás;1;ananás;Zelenina a ovocie;50;existujuci
parsnips;paštrnák;1;paštrnák;Zelenina a ovocie;75;NOVY
wholegrain mustard;horčica;1;horčica;Omáčky a dochucovadlá;66;existujuci
thai fish sauce;rybia omáčka;1;rybia omáčka;Omáčky a dochucovadlá;35;existujuci
egg noodles;rezance;1;rezance;Cestoviny a ryža;370;existujuci
chinese leaf;čínska kapusta;1;kapusta;Zelenina a ovocie;25;existujuci
udon noodles;rezance;1;rezance;Cestoviny a ryža;370;existujuci
raw frozen prawns;krevety;1;krevet;Mäso a ryby;99;existujuci
lemongrass;citrónová tráva;1;citrón;Zelenina a ovocie;29;existujuci
baby pak koi;pak choi;1;pak choi;Zelenina a ovocie;13;NOVY
trout;pstruh;1;pstruh;Mäso a ryby;119;NOVY
smoked ham;šunka;1;šunka;Mäso a ryby;145;existujuci
horseradish;chren;1;chren;Zelenina a ovocie;48;existujuci
marinated tofu;tofu;1;tofu;Trvanlivé a konzervy;144;existujuci
hoisin sauce;hoisin omáčka;1;hoisin omáčka;Trvanlivé a konzervy;220;existujuci
cashew nuts;kešu;1;kešu;Orechy a semená;553;existujuci
turkey;morčacie;1;morčac;Mäso a ryby;135;existujuci
turkey mince;morčacie;1;morčac;Mäso a ryby;135;existujuci
vegan butter;margarín;1;margarín;Oleje a tuky;720;existujuci
soya milk;sójové mlieko;1;sójové mlieko;Mliečne a vajcia;39;existujuci
green red lentils;šošovica;1;šošovic;Trvanlivé a konzervy;352;existujuci
vegan white wine vinegar;vínny ocot;1;ocot;Omáčky a dochucovadlá;20;existujuci
tempeh;tempeh;1;tempeh;Trvanlivé a konzervy;195;existujuci
raw vegetables;zeleninová zmes;1;zeleninová zmes;Zelenina a ovocie;40;existujuci
mixed grain;müsli;1;müsli;Trvanlivé a konzervy;380;existujuci
roasted vegetables;zeleninová zmes;1;zeleninová zmes;Zelenina a ovocie;40;existujuci
toast;toastový chlieb;1;toastový chlieb;Pečivo;265;existujuci
garlic granules;cesnakový prášok;1;cesnakový prášok;Trvanlivé a konzervy;331;existujuci
yautia;yautia;1;yautia;Zelenina a ovocie;98;NOVY
hind shank;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
cassaba;maniok;1;maniok;Zelenina a ovocie;160;NOVY
white yam;yam;1;yam;Zelenina a ovocie;118;NOVY
sweet red peppers;paprika;1;paprika;Zelenina a ovocie;31;existujuci
skirty steak;hovädzie;1;hovädzie;Mäso a ryby;250;existujuci
rice vermicelli;ryžové rezance;1;rezance;Cestoviny a ryža;370;existujuci
egg rolls;wonton cesto;1;wonton cesto;Mrazené;291;NOVY
rainbow trout;pstruh;1;pstruh;Mäso a ryby;119;NOVY
bok choi;pak choi;1;pak choi;Zelenina a ovocie;13;NOVY
rice flour pancakes;ryžová múka;1;múka;Pečenie a sladké;364;existujuci
streaky bacon;slanina;1;slanin;Mäso a ryby;500;existujuci
wonton skin;wonton cesto;1;wonton cesto;Mrazené;291;NOVY
polish kabanos;klobása;1;klobás;Mäso a ryby;300;existujuci
kabse spice;čierne korenie;1;korenie;Korenie a bylinky;0;existujuci
sugar snap peas;cukrový hrášok;1;cukrový hrášok;Zelenina a ovocie;42;existujuci
fromage frais;žervé;1;žervé;Mliečne a vajcia;250;existujuci
fettuccine;fettuccine;1;fettuccine;Cestoviny a ryža;353;existujuci
ground onion;cibuľový prášok;1;cibuľový prášok;Trvanlivé a konzervy;340;existujuci
pilchards;sardinky;1;sardink;Mäso a ryby;208;existujuci
paccheri pasta;cestoviny;1;cestoviny;Cestoviny a ryža;360;existujuci
egg roll wrappers;wonton cesto;1;wonton cesto;Mrazené;291;NOVY
plum sauce;slivková omáčka;1;slivk;Zelenina a ovocie;46;existujuci
queso fresco;syr;1;syr;Mliečne a vajcia;350;existujuci
almond essence;mandľová aróma;1;mandľová aróma;Pečenie a sladké;300;existujuci
yuca;maniok;1;maniok;Zelenina a ovocie;160;NOVY
red pepper sauce;chilli omáčka;1;chilli omáčka;Omáčky a dochucovadlá;240;existujuci
brie;brie;1;brie;Mliečne a vajcia;334;NOVY
prosciutto;prosciutto;1;prosciutto;Mäso a ryby;240;existujuci
cassava flour;maniokova múka;1;maniok;Zelenina a ovocie;160;NOVY
farine;hladká múka;1;múka;Pečenie a sladké;364;existujuci
beets;červená repa;1;červená repa;Zelenina a ovocie;44;existujuci
emmentaler cheese;ementál;1;ementál;Mliečne a vajcia;380;existujuci
phyllo dough;filo cesto;1;filo cesto;Mrazené;310;NOVY
zapallo squash;tekvica;1;tekvica;Zelenina a ovocie;26;NOVY
farmers cheese;tvaroh;1;tvaroh;Mliečne a vajcia;98;existujuci
rye grain;ražné zrno;1;ražné zrno;Cestoviny a ryža;338;NOVY
seeds;slnečnicové semienka;1;slnečnicové semien;Orechy a semená;584;existujuci
chickpea flour;cícerová múka;1;cícer;Trvanlivé a konzervy;139;existujuci
strong wholemeal flour;celozrnná múka;1;celozrn;Pečivo;245;existujuci
coarse salt;soľ;1;soľ;Korenie a bylinky;0;existujuci
semolina flour;krupica;1;krupica;Cestoviny a ryža;360;existujuci
ground mahleb;čierne korenie;1;korenie;Korenie a bylinky;0;existujuci
bread flour;chlebová múka;1;múka;Pečenie a sladké;364;existujuci
glutinous rice;ryža;1;ryža;Cestoviny a ryža;360;existujuci
mung bean paste;mungo pasta;1;mungo pasta;Trvanlivé a konzervy;330;NOVY
taro;taro;1;taro;Zelenina a ovocie;112;NOVY
sticky rice flour;ryžová múka;1;múka;Pečenie a sladké;364;existujuci
longan;longan;1;longan;Zelenina a ovocie;60;NOVY
pandan leaves;pandánové listy;1;pandánové listy;Korenie a bylinky;0;NOVY
bread rolls;žemľa;1;žemľa;Pečivo;280;existujuci
runner beans;fazuľové struky;1;fazuľov;Zelenina a ovocie;30;existujuci
rye;ražné zrno;1;ražné zrno;Cestoviny a ryža;338;NOVY
yellow masarepa;kukuričná múka;1;kukuričn;Cestoviny a ryža;357;existujuci
sazon;čierne korenie;1;korenie;Korenie a bylinky;0;existujuci
white bread;chlieb;1;chlieb;Pečivo;250;existujuci
stilton cheese;gorgonzola;1;gorgonzola;Mliečne a vajcia;353;existujuci
sazon goya with azafran;čierne korenie;1;korenie;Korenie a bylinky;0;existujuci
oyster mushrooms;hlíva;1;hlíva;Zelenina a ovocie;33;existujuci
unsalted peanuts;arašidy;1;arašid;Orechy a semená;567;existujuci
ice cream;zmrzlina;1;zmrzlina;Mrazené;207;NOVY
demerara sugar;hnedý cukor;1;hnedý cukor;Pečenie a sladké;380;existujuci
braeburn apples;jablko;1;jablk;Zelenina a ovocie;52;existujuci
sour milk;acidofilné mlieko;1;acidofilné mlieko;Mliečne a vajcia;60;existujuci
ground walnuts;vlašské orechy;1;vlašské orechy;Orechy a semená;654;existujuci
free-range egg;vajcia;1;vajc;Mliečne a vajcia;155;existujuci
chilled butter;maslo;1;maslo;Mliečne a vajcia;717;existujuci
beaten;vajcia;1;vajc;Mliečne a vajcia;155;existujuci
flaked almonds;mandle;1;mandle;Orechy a semená;579;existujuci
vanilla bean paste;vanilka;1;vanilka;Trvanlivé a konzervy;288;existujuci
ground pistachios;pistácie;1;pistácie;Orechy a semená;560;existujuci
unwaxed lemon;citrón;1;citrón;Zelenina a ovocie;29;existujuci
pistachio;pistácie;1;pistácie;Orechy a semená;560;existujuci
dark rum;rum;1;rum;Nápoje;231;existujuci
tamarind pulp;tamarindová pasta;1;tamarindová pasta;Omáčky a dochucovadlá;240;existujuci
white flour;hladká múka;1;múka;Pečenie a sladké;364;existujuci
dark chocolate chips;čokoláda;1;čokoláda;Pečenie a sladké;534;existujuci
cacao;kakao;1;kakao;Pečenie a sladké;228;existujuci
mars bar;čokoládová tyčinka;1;čokoládová tyčinka;Pečenie a sladké;480;existujuci
rice krispies;müsli;1;müsli;Trvanlivé a konzervy;380;existujuci
plain chocolate;čokoláda;1;čokoláda;Pečenie a sladké;534;existujuci
unsweetened cocoa;kakao;1;kakao;Pečenie a sladké;228;existujuci
strong white flour;chlebová múka;1;múka;Pečenie a sladké;364;existujuci
candied peel;kandizovaná kôra;1;kandizovaná kôra;Pečenie a sladké;322;NOVY
ice cubes;ľad;1;ľad;Ostatné;0;existujuci
pitted dates;datle;1;datle;Zelenina a ovocie;282;existujuci
wheat flour;hladká múka;1;múka;Pečenie a sladké;364;existujuci
glace cherry;koktejlová višňa;1;koktejlová višňa;Trvanlivé a konzervy;165;existujuci
dutch stroop;sirup;1;sirup;Omáčky a dochucovadlá;260;existujuci
mixed peel;kandizovaná kôra;1;kandizovaná kôra;Pečenie a sladké;322;NOVY
currants;hrozienka;1;hrozien;Zelenina a ovocie;299;existujuci
cream of tartar;vínny kameň;1;vínny kameň;Pečenie a sladké;258;NOVY
graham cracker crumbs;sušienky;1;sušienky;Pečenie a sladké;450;existujuci
cocoy banana;banán;1;banán;Zelenina a ovocie;89;existujuci
gingerbread spice;perníkové korenie;1;korenie;Korenie a bylinky;0;existujuci
date molasses;melasa;1;melasa;Pečenie a sladké;290;existujuci
coconut flakes;kokos;1;kokos;Pečenie a sladké;660;existujuci
ground sugar;cukor;1;cukor;Pečenie a sladké;400;existujuci
raw yucca;maniok;1;maniok;Zelenina a ovocie;160;NOVY
blueberries;čučoriedky;1;čučoriedk;Zelenina a ovocie;57;existujuci
unflavoured gelatin;želatína;1;želatín;Pečenie a sladké;335;existujuci
passion fruit pulp;maracuja;1;maracuja;Zelenina a ovocie;97;NOVY
