id;nazov;kategoria;kuchyna_teraz;kuchyna_navrh;istota;signaly
ovsena-kasa-s-jablkom-a-skoricou;Ovsená kaša s jablkom a škoricou;Raňajky;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
ovsena-kasa-s-kakaom-a-bananom;Ovsená kaša s kakaom a banánom;Raňajky;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
ovsene-lievance-z-cottage-syra;Ovsené lievance z cottage syra;Raňajky;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
ovsene-ranajkove-rozky;Ovsené raňajkové rožky;Pečivo;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
ovsene-susienky-na-ranajky;Ovsené sušienky na raňajky;Raňajky;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
ovsene-susienky-slane;Ovsené sušienky slané so syrom;Pečivo;Medzinárodná;Medzinárodná;nízka;Ázijská=2 [zazvor]
palacinky-s-matcha-cajom;Palacinky s matcha čajom;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
paradajkova-polievka-so-smotanou;Paradajková polievka so smotanou;Polievka;Medzinárodná;Medzinárodná;nízka;Francúzska=2 [smotana] | 2. Slovenská=2
pecena-cvikla-s-tymianom;Pečená cvikla s tymianom;Príloha;Medzinárodná;Medzinárodná;nízka;Grécka=4 [feta] | 2. Talianska=3
pecena-tekvica-s-fetou-a-sezamom;Pečená tekvica s fetou a sezamom;Príloha;Medzinárodná;Medzinárodná;nízka;Grécka=4 [feta] | 2. Talianska=3
pecene-jablka;Pečené jablká;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
pecene-kura-so-zeleninou-z-jedneho-plechu;Pečené kura so zeleninou z jedného plechu;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=3 [balzamik, olivovy olej] | 2. Slovenská=2
pecene-kura-v-soli;Pečené kura v soli;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Slovenská=2 [zemiak]
peceny-grep-ricotta;Pečený grep s ricottou;Raňajky;Medzinárodná;Medzinárodná;nízka;Talianska=3 [ricotta] | 2. Slovenská=3
pecivo-toast;Toastový chlieb;Pečivo;(prázdna);Medzinárodná;nízka;Talianska=1 [olivovy olej]
pikantne-kura-ryza-plech;Pikantné kura s ryžou z plechu;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Mexická=2
pikantny-cicer;Pikantný cícer;Snack;Medzinárodná;Indická;vysoká;Indická=6 [kurkuma, cicer] | 2. Blízkovýchodná=3
pistaciovi-sneci-s-domacim-lieskoorieskovym-kremom;Pistáciové slimáky s domácim lieskovoorieškovým krémom;Dezert;Medzinárodná;Medzinárodná;nízka;Americká=4 [javorovy sirup] | 2. Slovenská=3
plnene-cokoladove-muffiny;Plnené čokoládové muffiny;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
plnene-krutie-prsia-s-batatovym-pyre-a-chilli;Plnené morčacie prsia s batátovým pyré a chilli;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Ázijská=3 [kokosove mlieko, limetk] | 2. Thajská=2
pohankova-babovka-s-brusnicami;Pohánková bábovka s brusnicami;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
pohankova-kasa-s-medom-a-kokosom;Pohanková kaša s medom a kokosom;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
pohankove-krupky-so-skoricou;Pohánkové krupky so škoricou;Snack;Medzinárodná;Medzinárodná;ponechať;žiadny signál
pohankove-palacinky;Pohankové palacinky;Raňajky;Medzinárodná;Medzinárodná;nízka;Indická=3 [kurkuma] | 2. Slovenská=3
polievka-s-hlivou-ustricovou;Polievka s hlívou ustricovou;Polievka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
polievka-s-trhanym-kuracim-masom;Polievka s trhaným kuracím mäsom;Polievka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
polievka-z-cervenej-fazule;Polievka z červenej fazule;Polievka;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
polievka-z-cervenej-repy;Polievka z červenej repy;Polievka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
polievka-z-cervenej-sosovice;Polievka z červenej šošovice;Polievka;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
polievka-z-pecenych-paradajok;Polievka z pečených paradajok;Polievka;Medzinárodná;Medzinárodná;nízka;Talianska=3 [bazalka, olivovy olej]
pomazanka-z-nakladanych-paprik;Pomazánka z nakladaných paprík;Nátierka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
portobello-steaky-avokadova-omacka-zemiaky;Portobello steaky s avokádovou omáčkou a zemiakmi;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Indická=4 [ghi] | 2. Mexická=3
prepustene-maslo;Prepustené maslo;Príloha;Medzinárodná;Indická;stredná;Indická=4 [ghi]
priloha-hranolky;Pečené hranolky;Príloha;(prázdna);Medzinárodná;nízka;Slovenská=2 [zemiak]
priloha-kuskus;Kuskus;Príloha;(prázdna);Grécka;vysoká;Grécka=7 [feta, olivy] | 2. Indická=3
priloha-pecene-zemiaky;Pečené zemiaky z plechu;Príloha;(prázdna);Medzinárodná;nízka;Slovenská=2 [zemiak]
priloha-zemiakova-kasa;Zemiaková kaša (príloha);Príloha;(prázdna);Medzinárodná;nízka;Mexická=2 [kukuric] | 2. Slovenská=2
priloha-zemiaky-varene;Varené zemiaky;Príloha;(prázdna);Medzinárodná;nízka;Slovenská=2 [zemiak]
proteinove-gulky-s-brusnicami;Proteínové guľky s brusnicami;Snack;Medzinárodná;Medzinárodná;ponechať;žiadny signál
pstruh-s-chilli-a-limetkou-s-teplym-bulgurovym-salatom;Pstruh s chilli a limetkou s teplým bulgurovým šalátom;Hlavné jedlo;Medzinárodná;Turecká;vysoká;Turecká=7 [bulgur, mata] | 2. Blízkovýchodná=3
pstruh-s-mandlovou-krustou-a-mrkvovym-pyre;Pstruh s mandľovou krustou a mrkvovým pyré;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Francúzska=3 [dijon] | 2. Nemecká=3
quiche-so-spenatom-a-gorgonzolou;Quiche so špenátom a gorgonzolou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Francúzska=4 [quiche] | 2. Talianska=3
quinoa-salat-so-zeleninou;Quinoa šalát so zeleninou;Šalát;Medzinárodná;Medzinárodná;nízka;Talianska=2 [balzamik] | 2. Mexická=2
rajcinova-polievka-s-ryzou;Paradajková polievka s ryžou;Polievka;Medzinárodná;Medzinárodná;nízka;Talianska=2 [bazalka]
redkovkova-natierka-s-jogurtom;Reďkovková nátierka s jogurtom;Nátierka;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt]
repne-burgery-avokadova-houska;Repné burgery s avokádovou žemľou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Americká=4 [burger] | 2. Talianska=3
rolada-s-lesnym-ovocim;Roláda s lesným ovocím;Dezert;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh]
rukolovy-salat-s-hruskou-a-orechmi;Rukolový šalát s hruškou a orechmi;Šalát;Medzinárodná;Medzinárodná;nízka;Talianska=3 [parmez]
salat-divoka-ryza-kokos;Salát s divokou ryžou a kokosom;Šalát;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Grécka=2
salat-s-avokadom;Šalát s avokádom;Šalát;Medzinárodná;Medzinárodná;nízka;Talianska=3 [oregano, olivovy olej] | 2. Mexická=3
salat-s-cervenou-repou;Šalát s červenou repou;Šalát;Medzinárodná;Medzinárodná;nízka;Talianska=3 [balzamik, olivovy olej]
salat-s-cottage-a-zeleninou;Šalát s cottage syrom a zeleninou;Šalát;Medzinárodná;Medzinárodná;ponechať;žiadny signál
salat-s-kelom-a-uhorkou;Šalát s kelom a uhorkou;Šalát;Medzinárodná;Medzinárodná;nízka;Mexická=3 [avokado] | 2. Nemecká=3
salat-s-tunakom-a-jahodami;Šalát s tuniakom a jahodami;Šalát;Medzinárodná;Turecká;vysoká;Turecká=6 [jogurt, mata] | 2. Mexická=3
salat-so-slnecnicovymi-semienkami;Šalát so slnečnicovými semienkami;Šalát;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Talianska=2
salat-z-peceneho-bataty-s-fetou;Šalát z pečeného batátu s fetou;Šalát;Medzinárodná;Medzinárodná;nízka;Grécka=4 [feta] | 2. Americká=4
salat-z-peceneho-karfiolu-s-hrozienkami;Šalát z pečeného karfiolu s hrozienkami;Šalát;Medzinárodná;Medzinárodná;ponechať;žiadny signál
salat-z-peceneho-zemiaku-so-slaninou;Šalát z pečeného zemiaku so slaninou;Šalát;Medzinárodná;Medzinárodná;nízka;Americká=3 [slanina] | 2. Slovenská=2
salat-z-pecenej-cvikly-a-pomaranca;Šalát z pečenej cvikly a pomaranča;Šalát;Medzinárodná;Medzinárodná;nízka;Talianska=3 [balzamik, olivovy olej] | 2. Francúzska=3
salat-z-pecenej-repy-s-fetou;Šalát z pečenej repy s fetou;Šalát;Medzinárodná;Medzinárodná;nízka;Grécka=4 [feta] | 2. Turecká=3
salat-z-quinoi-s-peceenym-karfiolom;Šalát z quinoi s pečeným karfiolom;Šalát;Medzinárodná;Medzinárodná;nízka;Talianska=3 [bazalka, olivovy olej] | 2. Turecká=3
sampinonova-polievka-s-kari;Šampiňónová polievka s karí korením;Polievka;Medzinárodná;Medzinárodná;nízka;Indická=3 [kari koren] | 2. Slovenská=2
sampinony-plnene-kuskusom;Šampiňóny plnené kuskusom;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=4 [mozzarell, olivovy olej] | 2. Indická=3
sampionova-polievka;Šampiónová polievka;Polievka;Medzinárodná;Medzinárodná;ponechať;žiadny signál
sekana-s-tekvicou;Sekaná s tekvicou;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
seminkove-krekry;Semienkové krekry;Snack;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
skoricove-jablka-pecene;Škoricové pečené jablká;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
skoricove-slimaciky;Škoricové slimáčiky;Dezert;Medzinárodná;Medzinárodná;ponechať;žiadny signál
sladke-zemle;Sladké mliečne žemličky;Pečivo;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh]
sladky-dynovy-dip;Sladký tekvicový dip;Nátierka;Medzinárodná;Medzinárodná;nízka;Turecká=3 [jogurt] | 2. Grécka=2
slana-galette;Slaná galette;Hlavné jedlo;Medzinárodná;Talianska;vysoká;Talianska=7 [parmez, pesto, olivovy olej]
slana-ovsena-kasa-so-sampionmi;Slaná ovsená kaša so šampiónmi;Raňajky;Medzinárodná;Medzinárodná;nízka;Talianska=4 [parmez, olivovy olej] | 2. Britská=3
slane-makove-tycinky;Slané makové tyčinky;Pečivo;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [mak] | 2. Francúzska=2
slane-mandle-pecene;Slané pečené mandle;Snack;Medzinárodná;Medzinárodná;ponechať;žiadny signál
slane-muffiny-syr-slanina;Slané muffiny so syrom a slaninou;Pečivo;Medzinárodná;Medzinárodná;nízka;Talianska=4 [bazalka, oregano] | 2. Grécka=3
slnecnicove-rozky;Slnečnicové rožky;Pečivo;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [mak]
smoothie-z-hrozna-citrona-a-ananasu;Smoothie z hrozna, citróna a ananásu;Nápoj;Medzinárodná;Medzinárodná;ponechať;žiadny signál
snack-acidko;Acidofilné mlieko;Snack;(prázdna);Medzinárodná;ponechať;žiadny signál
snack-arasidove-maslo-jablko-skorica;Snack: arašidové maslo s jablkom a škoricou;Snack;Medzinárodná;Medzinárodná;nízka;Americká=3 [arasidove maslo]
snack-avokado-vajce-chilli;Snack: avokádo s vajcom a chilli;Snack;Medzinárodná;Medzinárodná;nízka;Mexická=3 [avokado]
snack-cerealna-tycinka;Cereálna tyčinka;Snack;(prázdna);Medzinárodná;nízka;Britská=3 [ovsene vlocky]
snack-cokoladovy-hummus-granatove-jablko-liesk-orechy;Snack: čokoládový hummus s granátovým jablkom a lieskovými orechmi;Snack;Medzinárodná;Blízkovýchodná;stredná;Blízkovýchodná=4 [hummus]
snack-cucoriedky;Čučoriedky;Snack;(prázdna);Medzinárodná;nízka;Talianska=3 [mascarpone] | 2. Mexická=2
snack-horka-cokolada;Horká čokoláda;Snack;(prázdna);Medzinárodná;nízka;Talianska=3 [mascarpone] | 2. Francúzska=2
snack-hruska;Hruška;Snack;(prázdna);Medzinárodná;ponechať;žiadny signál
snack-hummus-uhorka-sezam;Snack: hummus s uhorkou a sezamom;Snack;Medzinárodná;Blízkovýchodná;stredná;Blízkovýchodná=4 [hummus] | 2. Grécka=2
snack-hummus-zelenina;Hummus so zeleninou;Snack;(prázdna);Blízkovýchodná;vysoká;Blízkovýchodná=7 [hummus, cicer] | 2. Indická=3
snack-kefir;Kefír;Snack;(prázdna);Slovenská;vysoká;Slovenská=6 [tvaroh, mak]
snack-krekry;Slané krekry;Snack;(prázdna);Medzinárodná;ponechať;žiadny signál
snack-mandarinka;Mandarínka;Snack;(prázdna);Medzinárodná;nízka;Francúzska=2 [smotana]
snack-mrkva-hummus;Mrkva s hummusom;Snack;(prázdna);Medzinárodná;nízka;Blízkovýchodná=4 [hummus] | 2. Slovenská=3
snack-olivy;Olivy;Snack;(prázdna);Medzinárodná;nízka;Grécka=3 [olivy] | 2. Talianska=1
snack-oriesky;Hrsť orieškov;Snack;(prázdna);Medzinárodná;nízka;Slovenská=3 [mak]
snack-proteinovy-puding;Proteínový puding;Snack;(prázdna);Medzinárodná;ponechať;žiadny signál
snack-ricotta-pekanove-orechy-hrozno;Snack: ricotta s pekanovými orechmi a hroznom;Snack;Medzinárodná;Medzinárodná;nízka;Talianska=3 [ricotta]
snack-ryzove-chlebicky;Ryžové chlebíčky s arašidovým maslom;Snack;(prázdna);Medzinárodná;ponechať;žiadny signál
snack-smotanovy-syr-cuketa-losos;Snack: smotanový syr s cuketou a lososom;Snack;Medzinárodná;Medzinárodná;ponechať;žiadny signál
snack-syr-hrozno;Syr s hroznom;Snack;(prázdna);Medzinárodná;nízka;Talianska=3 [parmez] | 2. Americká=3
snack-tvaroh;Tvaroh;Snack;(prázdna);Medzinárodná;nízka;Slovenská=3 [tvaroh]
sosovicova-natierka;Šošovicová nátierka;Nátierka;Medzinárodná;Medzinárodná;nízka;Indická=3 [kurkuma] | 2. Talianska=1
sosovicova-polievka-s-kurkumou;Šošovicová polievka s kurkumou;Polievka;Medzinárodná;Medzinárodná;nízka;Indická=3 [kurkuma] | 2. Talianska=1
sosovicove-karbanatky;Šošovicové karbanátky;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Blízkovýchodná=4 [hummus] | 2. Nemecká=3
spagety-s-omackou-z-pecenych-paprik-a-mletym-krutim-masom;Špagety s omáčkou z pečených paprík a mletým morčacím mäsom;Cestoviny;Medzinárodná;Talianska;stredná;Talianska=4 [spagety, cestovin]
spaldova-kasa-s-pecenymi-cucoriedkami;Špaldová kaša s pečenými čučoriedkami;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
spenatova-kremova-polievka;Špenátová krémová polievka;Polievka;Medzinárodná;Medzinárodná;nízka;Slovenská=2 [zemiak]
spenatova-omeleta-so-sampionmi;Špenátová omeleta so šampiónmi;Raňajky;Medzinárodná;Medzinárodná;nízka;Talianska=4 [parmez, olivovy olej] | 2. Mexická=3
spenatovy-salat;Špenátový šalát;Šalát;Medzinárodná;Medzinárodná;nízka;Ázijská=3 [sojova omack] | 2. Talianska=1
spizy-so-slivkami;Špízy so slivkami;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=3 [oregano, olivovy olej] | 2. Indická=3
steak-so-salatom;Steak so šalátom;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=3 [balzamik, olivovy olej]
susene-jablkove-lupienky;Sušené jablkové lupienky;Snack;Medzinárodná;Medzinárodná;ponechať;žiadny signál
susene-marhule-s-mandlami;Sušené marhule s mandľami;Snack;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh] | 2. Mexická=2
susienky-s-kardamonom;Sušienky s kardamónom;Dezert;Medzinárodná;Medzinárodná;nízka;Britská=3 [ovsene vlocky]
syrove-kocky-s-hroznom;Syrové kocky s hroznom;Snack;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [mak]
syrove-slimaky;Syrové slimáky;Pečivo;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [mak]
syrovo-slaninove-rozky;Syrovo-slaninové rožky;Pečivo;Medzinárodná;Slovenská;stredná;Slovenská=5 [mak, zemiak] | 2. Americká=3
tekvicova-natierka-so-semienkami;Tekvicová nátierka so semienkami;Nátierka;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
tekvicovo-jablkova-polievka;Tekvicovo-jablková polievka;Polievka;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
tortillove-hovadzie-kebaby;Tortillové hovädzie kebaby;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Mexická=4 [tortill] | 2. Turecká=4
tunakova-pomazanka-s-chilli;Tuniaková pomazánka s chilli;Nátierka;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh] | 2. Talianska=1
tunakove-muffiny;Tuniakové muffiny;Snack;Medzinárodná;Medzinárodná;nízka;Talianska=4 [mozzarell, olivovy olej] | 2. Indická=3
tunakovy-wrap-uhorka;Tuniakový wrap s uhorkou;Raňajky;Medzinárodná;Mexická;stredná;Mexická=4 [tortill] | 2. Grécka=2
tuniakova-natierka-s-koriandrom;Tuniaková nátierka s koriandrom;Nátierka;Medzinárodná;Talianska;stredná;Talianska=4 [ricotta, olivovy olej] | 2. Mexická=2
tuniakove-karbonatky;Tuniakové karbonátky;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Francúzska=3 [dijon] | 2. Nemecká=3
tuniakovy-wrap;Tuniakový wrap s orechmi a zelerom;Šalát;Medzinárodná;Mexická;stredná;Mexická=4 [tortill]
tvarohova-natierka-s-pazitkou;Tvarohová nátierka s pažítkou;Nátierka;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh] | 2. Francúzska=2
tvarohovo-jahodovy-kolac-studeny;Tvarohovo-jahodový koláč studený (bez pečenia);Dezert;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh] | 2. Turecká=3
tvarohovo-kokosove-gulky-pecene;Tvarohovo-kokosové guľky pečené;Dezert;Medzinárodná;Medzinárodná;nízka;Slovenská=3 [tvaroh]
tycinky-z-mozzarelly;Tyčinky z mozzarelly;Snack;Medzinárodná;Talianska;stredná;Talianska=4 [mozzarell, olivovy olej]
vafle-s-parmazanom;Vafle s parmazánom;Raňajky;Medzinárodná;Medzinárodná;nízka;Talianska=3 [parmez]
vajecne-muffiny-so-zeleninou;Vaječné muffiny so zeleninou;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
vajickova-natierka-s-kaparmi;Vajíčková nátierka s kaparmi;Nátierka;Medzinárodná;Medzinárodná;nízka;Nemecká=3 [horcica]
vajickove-muffiny;Vajíčkové muffiny;Raňajky;Medzinárodná;Medzinárodná;nízka;Talianska=3 [mozzarell]
vajickove-sendvice;Vajíčkové sendviče so žeruchou;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
vajickovy-salat-s-kurkumou;Vajíčkový šalát s kurkumou;Šalát;Medzinárodná;Medzinárodná;nízka;Indická=3 [kurkuma] | 2. Turecká=3
vajicne-ranajky-so-sampinonmi;Vaječné raňajky so šampiňónmi;Raňajky;Medzinárodná;Medzinárodná;ponechať;žiadny signál
zapecene-avokado-s-vajcom;Zapečené avokádo s vajcom;Raňajky;Medzinárodná;Medzinárodná;nízka;Mexická=3 [avokado]
zapecene-cukety-s-hovedzim-masom;Zapečené cukety s hovädzím mäsom;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=4 [parmez, olivovy olej] | 2. Mexická=3
zapecene-paradajky-pazitka-parmezan;Zapečené paradajky s pažítkou a parmezánom;Raňajky;Medzinárodná;Medzinárodná;nízka;Talianska=3 [parmez]
zapecene-sampinony-s-masom;Zapečené šampiňóny s mäsom;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
zapecene-sladke-zemiaky-s-hovedzim-masom;Zapečené sladké zemiaky s hovädzím mäsom;Hlavné jedlo;Medzinárodná;Grécka;stredná;Grécka=4 [feta] | 2. Slovenská=2
zapecene-vajcia-so-spenatom;Zapečené vajcia so špenátom;Raňajky;Medzinárodná;Medzinárodná;nízka;Talianska=4 [mozzarell, olivovy olej] | 2. Indická=3
zapecene-zemiaky-s-hubami;Zapečené zemiaky s hubami;Hlavné jedlo;Medzinárodná;Talianska;stredná;Talianska=4 [ricotta, olivovy olej] | 2. Slovenská=2
zapeceny-baklazan-s-olomouckymi-tvarozkami;Zapečený baklažán s olomouckými tvarôžkami;Hlavné jedlo;Medzinárodná;Medzinárodná;ponechať;žiadny signál
zazvorove-smoothie;Zázvorové smoothie;Nápoj;Medzinárodná;Medzinárodná;nízka;Ázijská=2 [zazvor]
zazvorovo-citronovy-napoj-na-prechladnutie;Zázvorovo-citrónový nápoj na prechladnutie;Nápoj;Medzinárodná;Medzinárodná;nízka;Ázijská=2 [zazvor]
zelene-smoothie;Zelené smoothie;Nápoj;Medzinárodná;Turecká;vysoká;Turecká=6 [jogurt, mata] | 2. Grécka=2
zeleninova-polievka-s-cestovinami;Zeleninová polievka s cestovinami;Polievka;Medzinárodná;Talianska;stredná;Talianska=5 [parmez, cestovin]
zeleninova-polievka-s-kuskusom;Zeleninová polievka s kuskusom;Polievka;Medzinárodná;Medzinárodná;nízka;Talianska=1 [olivovy olej]
zeleninovy-salat-s-tuniakom-a-vajcom;Zeleninový šalát s tuniakom a vajcom;Šalát;Medzinárodná;Medzinárodná;nízka;Grécka=2 [uhork] | 2. Talianska=1
zeleny-smoothie-s-uhorkou;Zelený smoothie s uhorkou;Nápoj;Medzinárodná;Medzinárodná;nízka;Grécka=2 [uhork]
zemiakovy-chlieb;Zemiakový chlieb;Pečivo;Medzinárodná;Medzinárodná;nízka;Slovenská=2 [zemiak]
zubac-so-spenatom-mandlami-a-jablkom;Zubáč so špenátom, mandľami a jablkom;Hlavné jedlo;Medzinárodná;Medzinárodná;nízka;Americká=4 [javorovy sirup] | 2. Talianska=3
